numero patente,titulo patente,fecha patente,Patents,NOMBRE_INVENTOR,Inventor,Location,years active,año de inicio,última patente
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018-06-19,1,"Valadez Lopez,Jose Juan",Jose Juan Valadez Lopez,"Monterrey, MX",2018-2018,2018,2018
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018-06-19,1,"ZUBIRIA ELIZONDO,Miguel Jorge",Miguel Jorge ZUBIRIA ELIZONDO,"Monterrey, MX",2018-2018,2018,2018
10000241,Rocker reinforcement bracket having anti-corrosion holes,2018-06-19,3,"Choudhury,Rezaul",Rezaul Choudhury,"Sterling Heights, US",2017-2018,2017,2018
10000241,Rocker reinforcement bracket having anti-corrosion holes,2018-06-19,1,"Zapata Abdala,Ohster Edga",Ohster Edga Zapata Abdala,"Mexico City, MX",2018-2018,2018,2018
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,1,"Medina Valencia,Verona",Verona Medina Valencia,"Cosoleacaque, MX",2018-2018,2018,2018
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,1,"Ramirez Sosa,Pamela Shantal",Pamela Shantal Ramirez Sosa,"Altamira, MX",2018-2018,2018,2018
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,1,"Moran Delgado,Bertha",Bertha Moran Delgado,"Cosoleacaque, MX",2018-2018,2018,2018
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,1,"Escobar Lopez,Alfredo",Alfredo Escobar Lopez,"Altamira, MX",2018-2018,2018,2018
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,1,"Quintero Barajas,Jose Gabriel",Jose Gabriel Quintero Barajas,"Altamira, MX",2018-2018,2018,2018
10000435,Energy and environmentally integrated method for production of aromatic dicarboxylic acids by oxidation,2018-06-19,1,"Bulbarela Croda,Arturo",Arturo Bulbarela Croda,"Cosoleacaque, MX",2018-2018,2018,2018
10000457,Process for preparing imidazolium based ionic liquids with di-polymerized oxirane base,2018-06-19,2,"Vazquez Guevara,Miguel Angel",Miguel Angel Vazquez Guevara,"Xico, MX",2017-2018,2017,2018
