Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Jose Juan Valadez Lopez,"Valadez Lopez,Jose Juan",1,,,,,,"Monterrey, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Miguel Jorge ZUBIRIA ELIZONDO,"ZUBIRIA ELIZONDO,Miguel Jorge",1,,,,,,"Monterrey, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Rezaul Choudhury,"Choudhury,Rezaul",3,,,,,,"Sterling Heights, US",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Ohster Edga Zapata Abdala,"Zapata Abdala,Ohster Edga",1,,,,,,"Mexico City, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Verona Medina Valencia,"Medina Valencia,Verona",1,,,,,,"Cosoleacaque, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Pamela Shantal Ramirez Sosa,"Ramirez Sosa,Pamela Shantal",1,,,,,,"Altamira, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Bertha Moran Delgado,"Moran Delgado,Bertha",1,,,,,,"Cosoleacaque, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Alfredo Escobar Lopez,"Escobar Lopez,Alfredo",1,,,,,,"Altamira, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Jose Gabriel Quintero Barajas,"Quintero Barajas,Jose Gabriel",1,,,,,,"Altamira, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Arturo Bulbarela Croda,"Bulbarela Croda,Arturo",1,,,,,,"Cosoleacaque, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Miguel Angel Vazquez Guevara,"Vazquez Guevara,Miguel Angel",2,,,,,,"Xico, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Fabiola Irene Lopez Vallejo,"Lopez Vallejo,Fabiola Irene",3,,,,,,"Xico, MX",2014-2018,2014,2018,,,,,,,,,,,,,,,,,,,
Jose Manuel Dominguez Esquivel,"Dominguez Esquivel,Jose Manuel",10,,,,,,"Xico, MX",2006-2024,2006,2024,,,,,,,,,,,,,,,,,,,
Alma Delia Miranda Olvera,"Miranda Olvera,Alma Delia",2,,,,,,"Xico, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Jesus Alfonso Alarcon Hernandez,"Alarcon Hernandez,Jesus Alfonso",4,,,,,,"Toluca, MX",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Donald M Perkins,"Perkins,Donald M",51,,,,,,"Sterling Heights, US",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
