Nombre Inventor
"Gonzalez Cordova,Aaron Fernando"
"Duenas De La Cruz,Abraham"
"Gomez Lopez,Abraham"
"Faraon Chaul Huerta,Adma Elena"
"Macouzet Diaz Leal,Adrian Enrique"
"Aguirre Gutierrez,Adriana de Jesus"
"GARCIA GONZALEZ,Alan Armando"
"Camacho Velazquez,Alan Federico"
"Checa Rojas,Alberto"
"Montoya,Alberto"
"Osio Hernandez Pons,Alberto"
"Sanchez,Alberto"
"A Elizondo,Alejandro"
"Cortina Cordero,Alejandro"
"Enrique Gonzalez,Alejandro"
"Espinosa Ruiz,Alejandro"
"Juarez Corona,Alejandro"
"Leon Escalera,Alejandro"
"Ortega Rodriguez,Alejandro"
"Rosas Vazquez,Alejandro"
"F Licea Navarro,Alexei"
"Cardenas,Alfonso"
"Izquierdo Garcia,Alfonso"
"Barragan Rodriguez,Alfonso Javier"
"Zehe,Alfred"
"Diaz Fernandez,Alfredo"
"Gallegos,Alfredo"
"Ortiz,Alfredo"
"Rodriguez,Alfredo"
"Jaramillo Jacob,Alicia del Rayo"
"Vidal Ortiz,Alicia"
"Mejia Jaramillo,Allan Alberto"
"Pardo Ramos,Alvaro"
"Maria Urrea,Ana"
"Encinas,Andres"
"F Rodriguez Jasso,Andres"
"Godinez,Andres"
"Munoz Ruiz,Andres"
"Alvarez Lopez,Andres Omar"
"Garcia Morlet,Andres Rodrigo"
"Aceves Diez,Angel Emilio"
"Reyes Archundia,Angel"
"Espinosa,Antonio"
"Santo Rincon,Antonio Espiritu"
"Paredes,Antonio"
"Zenteno Ramirez,Antonio"
"Olguin Jimenez,Araceli"
"Jusidman Rubinstein,Arie"
"Sedano Hernandez,Armando"
"Zambrano Huerta,Armando"
"Gonzalez Acevedo,Artemio"
"Ortiz Rivas,Arturo A"
"Cruz,Arturo"
"Hjort Delgado,Arturo"
"Ismael Quinto,Arturo"
"Romero,Arturo"
"Sanchez Garcia,Arturo"
"Santos,Arturo"
"Lamshing Tai,Arturo Si Ming"
"U Olague,Arturo"
"Zapata Rendon,Beatriz"
"Sanchez Vazquez,Belisario"
"Anton Palma,Benito"
"Duenas Figueroa,Benjamin"
"Segura Pacheco,Blanca Angelica"
"Aguilar Barrera,Candido"
"Gonzalez Delgadillo,Carlos A"
"Gomez Aldapa,Carlos Alberto"
"Merino Almeida,Carlos Emilio"
"Saenz Camacho,Carlos Ernesto"
"Gonzalez Hernandez,Carlos"
"Jair Briceno,Carlos"
"Mora Hernandez,Carlos"
"de Santiago,Carlos Ramirez"
"Rivero Jimenez,Carmela"
"Josefina Ramirez,Carmen"
"Fernandez de Castro,Daniel Vogel"
"Velez Argumedo,Catalina Maria"
"Alejandro Arzate,Cesar"
"Avitia,Cesar"
"C Chavez,Cesar"
"Chavez Sandoval,Cesar Cain"
"Davila,Cesar"
"Medina Juarez,Cesar Omar"
"Dean Cyphery,Charles"
"Gonzalez,Claudia"
"Sandoval Antunez,Claudia Isabel"
"Clamont Bello,Claudio Alberto"
"Rosas Salazar,Cristina"
"Leon Cortez,Cristopher Alejandro"
"Anaya Romo,Cynthia Denisse"
"Aguirre,Daniel"
"Herrera Vazquez,Daniel"
"Talancon,Daniel"
"Alonso,Daniela"
"Graciela Rodriguez Sanchez,Dariana"
"Aguilar Baza,Darien"
"William Fernandez,Darwin"
"Musi Navarro,David Alberto"
"Garza Maldonado,David"
"Hugo Carrillo Cantu,David"
"Gonzalez Bojorges,David K"
"MACKAY PETT,David Ross"
"Antonio Martinez,Edgar"
"Javier Ortega,Edgar"
"Garcia Tellez,Edgar M"
"Salazar Fabian,Edgar"
"Wolf,Edgard"
"Sanchez Castrejon,Edna"
"Pena Cabrera,Eduardo"
"de Anda,Eduardo Rodriguez"
"Sanchez,Eduardo"
"Galeazzi Toscani,Edvige"
"Solis,Efren"
"Romero Saldivar,Elias Aurelio"
"Marquez,Elias"
"Quintana Romero,Elizabeth"
"L Delgado,Elsa"
"Jose Miquilena,Emilio"
"Robledo,Emilio"
"Ruiz,Emilio"
"Acevedo Arizpe,Enrique M"
"M Vera,Enrique R"
"Ramirez Magana,Enrique"
"Valencia Garcia,Enrique"
"Flores Islas,Erick"
"Escobedo Hernandez,Ernesto Heliodoro"
"Ruiz Pacheco,Esmeralda"
"Soto,Esmeralda"
"Orozco Orozco,Esther"
"Aguilar Cordova,Estuardo"
"Cheng,Eunice"
"Hernandez,Ever"
"Salas,Ezequiel"
"Lopez Vallejo,Fabiola Irene"
"Ahmed Omer,Farhan"
"Castro Munozledo,Federico"
"Burciaga,Fernando"
"Gonzalez Lenero,Fernando"
"Ruiz,Fernando"
"Moran Pineda,Florencia Marina"
"Fuentes,Francisco"
"Guevara Arreola,Francisco"
"Javier Curiel,Francisco"
"Marichi Rodriguez,Francisco Javier"
"Moreno Moncada,Francisco Javier"
"Ramirez Aldana,Francisco Javier"
"Tovar Lopez,Francisco Javier"
"Oblea,Francisco"
"Gil Daellenbach,Francisco Robles"
"Romero Salido,Francisco"
"Sosa,Francisco"
"Vargas,Francisco"
"de la Rosa Esparza,Gabriel"
"GOJON ZORRILLA,Gabriel"
"Hernandez Zamora,Gabriel"
"Padilla,Gabriel"
"Laredo Sanchez,Georgina Cecilia"
"Castanon,Gerardo"
"Hernandez Gonzalez,Gerardo"
"Mijares Saenz,Gerardo"
"Morlet Ugalde,Gian Carlo"
"Robles Gonzalez,Gilberto"
"Ramirez,Gildardo"
"Castorena Cortes,Gladys Teresa"
"Morales,Graciela"
"Reyes Granados,Graciela"
"Rodriguez Sanchez,Guadalupe"
"Sun,Guanghui"
"Cervantes Guarneros,Guillermo Cesar"
"Locht,Guillermo"
"Aguirre Esponda,Guillermo Jose"
"Valencia Cruz,Gustavo Eduardo"
"Daniel Martinez,Hector"
"G Martinez,Hector"
"Hernandez Hernandez,Hector"
"Jaime Alba,Hector"
"OSUNA,Heliodoro"
"Hopfl,Herbert"
"Arias,Herman"
"Aburto,Hiram"
"Solis,Horacio"
"Munoz Acosta,Hugo Antonio"
"Fuentes,Hugo"
"Orozco Gavaldon,Humberto"
"Cruz Leyva,Irene"
"Alejandro Gonzalez,Ivan"
"Herrera Agassini,Ivan Alejandro"
"Jesus Lopez,Ivan"
"Perez,Ivan"
"Castillo Munguia,J Jesus"
"Zyman Beer,Jacobo"
"Lopez Cervantes,Jaime"
"Valenzuela Grado,Jaime"
"Cruz Lopez,Jairo Abraham"
"Martinez Viramontes,Jaquelin"
"Aranda Cotero,Javier"
"Castro Rosas,Javier"
"Ramirez,Javier"
