NOMBRE DEL INVESTIGADOR
"ABA GUEVARA,CINTHIA GUADALUPE"
"ABADIA GARCIA,LUCIA GUADALUPE"
"ABARCA ARENAS,LUIS GERARDO"
"ABARCA CASTRO,ERIC ALONSO"
"ABARCA GARCIA,CESAR ANTONIO"
"ABARCA RODRIGUEZ,MARCO ANTONIO"
"ABASCAL MENA,MARIA DEL ROCIO"
"ABDALA ROBERTS,LUIS ALEJANDRO"
"ABDO DE LA PARRA,MARIA ISABEL"
"ABELLAN FERNANDEZ,JORDI"
"ABOITES AGUILAR,LUIS"
"ABOITES MANRIQUE,VICENTE"
"ABREGO FRANCO,MARIA GUADALUPE"
"ABREGO RAMIREZ,ADRIAN"
"ABREU BLAYA,RICARDO"
"ABREU CORONA,ARTURO"
"ABRICA GONZALEZ,PAULINA"
"ABRIL GARCIA,JOSE HUMBERTO"
"ABRIL VALDEZ,JOSE ALBERTO"
"ABUD ALCALA,RAMON"
"ABUD MENDOZA,CARLOS"
"ACCINELLI,ELVIO"
"ACERO SANDOVAL,MARIO ARTURO"
"ACEVEDO AGUILAR,FRANCISCO JAVIER"
"ACEVEDO ALEMAN,JESUS"
"ACEVEDO ARCIQUE,CARLOS MANUEL"
"ACEVEDO GARCIA,MARTHA PATRICIA"
"ACEVEDO JUAREZ,BRENDA"
"ACEVEDO MOSQUEDA,MARIA ELENA"
"ACEVEDO RODRIGO,ARIADNA MARIA"
"ACEVES AVILA,FRANCISCO JAVIER"
"ACEVES DE LA CRUZ,FERMIN"
"ACEVES FERNANDEZ,MARCO ANTONIO"
"ACEVES GONZALEZ,CARLOS"
"ACEVES LOPEZ,ALEJANDRO"
"ACEVES MEDINA,GERARDO"
"ACEVES PULIDO,MARTHA PATRICIA"
"ACO TLACHI,MIGUEL ANGEL"
"ACOSTA CANO DE LOS RIOS,PEDRO RAFAEL"
"ACOSTA DIAZ,EFRAIN"
"ACOSTA DIAZ,FELIX"
"ACOSTA DOMINGUEZ,LAURA"
"ACOSTA ENRIQUEZ,MARIA ELENA"
"ACOSTA FERNANDEZ,MARTIN"
"ACOSTA FLORES,MARIO"
"ACOSTA GALLEGOS,JORGE ALBERTO"
"ACOSTA GARCIA,SANDRA"
"ACOSTA GIO,ADELFO ENRIQUE"
"ACOSTA GONZAGA,ELIZABETH"
"ACOSTA GONZALEZ,FRANCISCO ANDRES"
"ACOSTA GONZALEZ,GILBERTO"
"ACOSTA GONZALEZ,ROSA ISSEL"
"ACOSTA HERNANDEZ,ANDREA CECILIA"
"ACOSTA HERNANDEZ,MARIO EDUARDO"
"ACOSTA MARQUEZ,MARIA PILAR"
"ACOSTA MARTINEZ,ANA ISABEL"
"ACOSTA MENDOZA,CARINA"
"ACOSTA MONTES DE OCA,ADRIANA"
"ACOSTA OLIVO,CARLOS ALBERTO"
"ACOSTA OSORNO,MARIO ALBERTO"
"ACOSTA PEREZ,EVA"
"ACOSTA RODRIGUEZ,JOSE ISMAEL"
"ACOSTA ROMERO,MIGUEL"
"ACOSTA RUIZ,MANUEL DE JESUS"
"ACOSTA SANCHEZ,LUIS ARMANDO"
"ACOSTA SANTOYO,GUSTAVO"
"ACOSTA TORRES,LAURA SUSANA"
"ACOSTA VARELA,NOLBERTO"
"ACUA CAMPA,HERIBERTO"
"ACUA GONZALEZ,NARCISO ANTONIO"
"ACUA LLAMAS,FRANCISCO JAVIER"
"ACUA SOTO,CLAUDIA MARGARITA"
"ACUA,JUAN MANUEL"
"ACUAYTE VALDES,MARIA DEL CONSUELO"
"ACUNA CAMPA,HERIBERTO"
"ACUNA GONZALEZ,EDGAR"
"ACUNA GONZALEZ,NARCISO ANTONIO"
"ACUNA GURROLA,MARIA DEL REFUGIO"
"ACUNA JIMENEZ,MONICA"
"ACUNA LARA,ANA LILIA"
"ACUNA LLAMAS,FRANCISCO JAVIER"
"ACUNA MALDONADO,OLIA"
"ACUNA SANDOVAL,RENE"
