NOMBRE DEL INVESTIGADOR MATCH
"ABSALON CONSTANTINO,ANGEL EDUARDO"
"ABURTO ANELL,JORGE ARTURO"
"ACEVES DIEZ,ANGEL EMILIO"
"ACOSTA GONZALEZ,GUILLERMO ENRIQUE"
"ACOSTA SALMON,HECTOR"
"ADAMS,RANDY HOWARD"
"AGUILA HERNANDEZ,JACINTO"
"AGUILAR ELGUEZABAL,ALFREDO"
"AGUILAR ESCALANTE,RODOLFO ANTONIO"
"AGUILAR FAISAL,JOSE LEOPOLDO"
"AGUILAR MENDOZA,GUILLERMO"
"AGUILAR PLIEGO,JULIA"
"AGUILAR TOALA,JOSE ELEAZAR"
"AGUILAR VEGA,MANUEL DE JESUS"
"AGUILERA CORTES,LUZ ANTONIO"
"AGUILERA GOMEZ,EDUARDO"
"ALAGON CANO,ALEJANDRO"
"ALCANTAR CAMARENA,VICTOR ALFONSO"
"ALDAYA GARDE,IVAN ARITZ"
"ALEKSANDROV,VLADIMIR"
"ALEMAN VAZQUEZ,LAURA OLIVIA"
"ALEXANDROVA,LARISSA"
"ALMEIDA LOYA,SERGIO FABIAN"
"ALONSO GARCIA,ANA LUCIA"
"ALONSO MARTINEZ,FERNANDO"
"ALONSO NUNEZ,GABRIEL"
"ALTAGRACIA MARTINEZ,MARINA"
"ALVAREZ CONTRERAS,LORENA"
"ALVAREZ GAYOSSO,CARLOS ANDRES"
"ALVAREZ MAJMUTOV,ANTON"
"ALVAREZ MEJIA,ANA LAURA"
"ALVAREZ RAMIREZ,FERNANDO"
"ALVAREZ,MARIO MOISES"
"ALZATE GAVIRIA,LILIANA MARIA"
"AMBROSIO LAZARO,ROBERTO CARLOS"
"AMEZAGA MADRID,PATRICIA"
"AMEZCUA ALLIERI,MYRIAM ADELA"
"ANCHEYTA JUAREZ,JORGE"
"ANGELES ALVAREZ,PEDRO GUILLERMO"
"ANGELES CHAVEZ,CARLOS"
"AQUINO OLIVOS,MARCO ANTONIO"
"ARAMBULA COSIO,FERNANDO"
"ARMENDARIZ BORUNDA,JUAN SOCORRO"
"ARMENDARIZ HERRERA,HECTOR"
"ASCANIO GASCA,GABRIEL"
"ASTUDILLO DE LA VEGA,HORACIO"
"AVALOS GARCIA,JAVIER"
"AVILA VILCHIS,JUAN CARLOS"
"AZORIN VEGA,ERIKA PATRICIA"
"BAEZA RAMIREZ,MARIA ISABEL"
"BANUELOS SANCHEZ,PEDRO"
"BARAJAS RAMIREZ,JUAN GONZALO"
"BARCENAS CASTANEDA,MARIANA"
"BARONA GOMEZ,FRANCISCO"
"BARREIRO RODRIGUEZ,GUADALUPE"
"BARRIOS PEREZ,JOSE ANTONIO"
"BARROSO VILLA,JUAN GERARDO"
"BAYDYK,TETYANA"
"BEAS BUJANOS,JOAQUIN"
"BECERRIL LUJAN,BALTAZAR"
"BELTRAN CHACON,RICARDO"
"BELTRAN CONDE,HIRAM ISAAC"
"BENAVIDES LOZANO,JORGE ALEJANDRO"
