NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"SANCHEZ SANTIRO,ERNEST","ABEL SANTOS,ERNESTO",76.92307692307692
"ABSALON CONSTANTINO,ANGEL EDUARDO","ABSALON CONSTANTINO,ANGEL EDUARDO",100.0
"ABURTO ANELL,JORGE ARTURO","ABURTO ANELL,JORGE ARTURO",100.0
"ACEVES DIEZ,ANGEL EMILIO","ACEVES DIEZ,ANGEL EMILIO",100.0
"RIVAS ACEVES,SALVADOR","ACEVES,SALVADOR M",77.77777777777777
"GARCIA FLORES,ALEJANDRO","ACOSTA FLORES,ALEJANDRO ELI",79.37062937062936
"ROSAS FLORES,JORGE ALBERTO","ACOSTA FLORES,JORGE ALBERTO",90.0
"ACOSTA GONZALEZ,GUILLERMO ENRIQUE","ACOSTA GONZALEZ,GUILLERMO ENRIQUE",100.0
"ACOSTA FLORES,MARIO","ACOSTA LOYOLA,MAURICIO",73.07692307692307
"LOZANO RODRIGUEZ,ARMANDO","ACOSTA RODRIGUEZ,ARMANDO",87.5
"ACOSTA SALMON,HECTOR","ACOSTA SALMON,HECTOR",100.0
"LABRA VAZQUEZ,PABLO","ACUNA VAZQUEZ,PABLO",88.46153846153845
"CHAVEZ CAMPOS,DAVID ALEJANDRO","ADAMS CAMPOS,MARIO ALEJANDRO",72.0
"ADAMS,RANDY HOWARD","ADAMS,RANDY HOWARD",100.0
"JARA GUERRERO,JOSE MANUEL","AGUERO TREJO,JOSE MANUEL",82.0
"AGUILA HERNANDEZ,JACINTO","AGUILA HERNANDEZ,JACINTO",100.0
"AGUILAR JIMENEZ,JOSE ROBERTO","AGUILAR ANTE,JOSE ROBERTO",87.03703703703704
"AGUILAR ASTUDILLO,EDUARDO","AGUILAR CORDOVA,ESTUARDO",71.25
"AGUILAR MENDEZ,MARIO JOSUE","AGUILAR CUELLAR,ARTEMIO JOSUE",72.70114942528735
"AGUILAR ELGUEZABAL,ALFREDO","AGUILAR ELGUEZABAL,ALFREDO",100.0
"AGUILAR ESCALANTE,RODOLFO ANTONIO","AGUILAR ESCALANTE,RODOLFO ANTONIO",100.0
"AGUILAR FAISAL,JOSE LEOPOLDO","AGUILAR FAISAL,JOSE LEOPOLDO",100.0
"AGUILAR LOPEZ,RICARDO","AGUILAR LOBATO,RICARDO",87.03703703703704
"AGUILAR SANCHEZ,OMAR","AGUILAR MACEDO,OMAR",87.93103448275862
"RUIZ MENDEZ,DAVID","AGUILAR MENDEZ,DAVID",86.0
"AGUILAR SANCHEZ,JOSE ANTONIO","AGUILAR MENDEZ,JOSE ANTONIO",87.93103448275862
"AGUILAR MENDOZA,GUILLERMO","AGUILAR MENDOZA,GUILLERMO",100.0
"AGUILAR PLIEGO,JULIA","AGUILAR PLIEGO,JULIA",100.0
"AGUILAR TOALA,JOSE ELEAZAR","AGUILAR TOALA,JOSE ELEAZAR",100.0
"AGUILAR VEGA,MANUEL DE JESUS","AGUILAR VEGA,MANUEL DE JESUS",100.0
"AGUILAR GONZALEZ,ALBERTO","AGUILAR,ALBERT",76.58862876254182
"AGUILAR LOPEZ,ANTONIO","AGUILAR,ANTONIO",85.0
