NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"ABSALON CONSTANTINO,ANGEL EDUARDO","ABSALON CONSTANTINO,ANGEL EDUARDO",100
"ABURTO ANELL,JORGE ARTURO","ABURTO ANELL,JORGE ARTURO",100
"ACEVES DIEZ,ANGEL EMILIO","ACEVES DIEZ,ANGEL EMILIO",100
"RIVAS ACEVES,SALVADOR","ACEVES,SALVADOR M",7.777.777.777.777.770
"ACOSTA GONZALEZ,GUILLERMO ENRIQUE","ACOSTA GONZALEZ,GUILLERMO ENRIQUE",100
"ACOSTA SALMON,HECTOR","ACOSTA SALMON,HECTOR",100
"ADAMS,RANDY HOWARD","ADAMS,RANDY HOWARD",100
"AGUILA HERNANDEZ,JACINTO","AGUILA HERNANDEZ,JACINTO",100
"AGUILAR ELGUEZABAL,ALFREDO","AGUILAR ELGUEZABAL,ALFREDO",100
"AGUILAR ESCALANTE,RODOLFO ANTONIO","AGUILAR ESCALANTE,RODOLFO ANTONIO",100
"AGUILAR FAISAL,JOSE LEOPOLDO","AGUILAR FAISAL,JOSE LEOPOLDO",100
"AGUILAR MENDOZA,GUILLERMO","AGUILAR MENDOZA,GUILLERMO",100
"AGUILAR PLIEGO,JULIA","AGUILAR PLIEGO,JULIA",100
"AGUILAR TOALA,JOSE ELEAZAR","AGUILAR TOALA,JOSE ELEAZAR",100
"AGUILAR VEGA,MANUEL DE JESUS","AGUILAR VEGA,MANUEL DE JESUS",100
"AGUILAR GONZALEZ,ALBERTO","AGUILAR,ALBERT",7.658.862.876.254.180
"AGUILAR LOPEZ,ANTONIO","AGUILAR,ANTONIO",85
"PEREZ AGUILAR,BENJAMIN","AGUILAR,BENJAMIN",85
"AYON AGUILAR,JORGE","AGUILAR,JORGE",8.684.210.526.315.780
"AGUILAR RIVERA,JOSE ANTONIO","AGUILAR,JOSE ANTONIO",8.333.333.333.333.330
"GOMEZ AGUILAR,JOSE FRANCISCO","AGUILAR,JOSE FRANCISCO",85
"AGUILAR JIMENEZ,JOSE ROBERTO","AGUILAR,JOSE ROBERTO",8.181.818.181.818.180
"SANCHEZ AGUILAR,MARIO","AGUILAR,MARIO",8.181.818.181.818.180
"AGUILAR MEJIA,OMAR","AGUILAR,OMAR",85
"MORA AGUILAR,RAFAEL","AGUILAR,RAFAEL",8.684.210.526.315.780
"AGUILERA CORTES,LUZ ANTONIO","AGUILERA CORTES,LUZ ANTONIO",100
"AGUILERA GOMEZ,EDUARDO","AGUILERA GOMEZ,EDUARDO",100
"AGUILAR FAISAL,JOSE LEOPOLDO","AGUILR FAISAL,JOSE  LEOPOLDO",962.962.963
"LOPEZ AGUIRRE,DANIEL","AGUIRRE,DANIEL",85
"ALAGON CANO,ALEJANDRO","ALAGON CANO,ALEJANDRO",100
"ALCANTAR CAMARENA,VICTOR ALFONSO","ALCANTAR CAMARENA,VICTOR ALFONSO",100
"GALINDO ALCANTARA,ADALBERTO","ALCANTARA,ALBERTO",7.836.538.461.538.460
"HERRERA ALCANTARA,OSCAR","ALCANTARA,OSCAR M",7.628.205.128.205.120
"ALDAYA GARDE,IVAN ARITZ","ALDAYA GARDE,IVAN ARITZ",100
"ALDAYA GARDE,IVAN ARITZ","ALDAYA GARDE,IVAN ARTIZ",95
"PAYAN ALEJO,JORGE","ALEJO,JORGE",81.25
"ALEKSANDROV,VLADIMIR","ALEKSANDROV,VLADIMIR",100
"ALEMAN VAZQUEZ,LAURA OLIVIA","ALEMAN VAZQUEZ,LAURA OLIVIA",100
"ALEXANDROVA,LARISSA","ALEXANDROVA,LARISSA",100
"ALMEIDA LOYA,SERGIO FABIAN","ALMEIDA LOYA,SERGIO FABIAN",100
"ALONSO GARCIA,ANA LUCIA","ALONSO GARCIA,ANA LUCIA",100
"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FERNANDO",100
"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FRENANDO",93.75
"ALONSO NUNEZ,GABRIEL","ALONSO NUNEZ,GABRIEL",100
"DIAZ ALONSO,DANIELA","ALONSO,DANIELA",8.529.411.764.705.880
"ALONSO NUNEZ,GABRIEL","ALONSO,GABRIEL",8.333.333.333.333.330
"ALTAGRACIA MARTINEZ,MARINA","ALTAGRACIA MARTINEZ,MARINA",100
"ALTAMIRANO BUSTAMANTE,MYRIAM MARLENNE","ALTAMIRANO BUSTAMANTE,MYRIAM MARLENE",9.827.586.206.896.550
"ALUJA SCHUNEMAN HOFER,MARTIN RAMON","ALUJA SCHUNEMAN,MARTIN RAMON",9.166.666.666.666.660
"ALVAREZ CONTRERAS,LORENA","ALVAREZ CONTRERAS,LORENA",100
"ALVAREZ GAYOSSO,CARLOS ANDRES","ALVAREZ GAYOSSO,CARLOS ANDRES",100
"ALVAREZ MAJMUTOV,ANTON","ALVAREZ MAJMUTOV,ANTON",100
"ALVAREZ MEJIA,ANA LAURA","ALVAREZ MEJIA,ANA LAURA",100
"ALVAREZ RAMIREZ,FERNANDO","ALVAREZ RAMIREZ,FERNANDO",100
"ALVAREZ MOYA,CARLOS","ALVAREZ,CARLOS",8.684.210.526.315.780
"ALVAREZ GUZMAN,EDUARDO","ALVAREZ,EDUARDO",8.333.333.333.333.330
"ALVAREZ PEREZ,JOSE","ALVAREZ,JOSE",85
"ALVAREZ LOPEZ,JUAN","ALVAREZ,JUAN J",75
"ALVAREZ,MARIO MOISES","ALVAREZ,MARIO MOISES",100
"ALZATE GAVIRIA,LILIANA MARIA","ALZATE GAVIRIA,LILIANA MARIA",100
"AMBROSIO LAZARO,ROBERTO CARLOS","AMBROSIO LAZARO,ROBERTO CARLOS",100
"AMEZAGA MADRID,PATRICIA","AMEZAGA MADRID,PATRICIA",100
"AMEZCUA ALLIERI,MYRIAM ADELA","AMEZCUA ALLIERI,MYRIAM ADELA",100
"ANCHEYTA JUAREZ,JORGE","ANCHEYTA JUAREZ,JORGE",100
"ANGELES ALVAREZ,PEDRO GUILLERMO","ANGELES ALVAREZ,PEDRO GUILLERMO",100
"ANGELES CHAVEZ,CARLOS","ANGELES CHAVEZ,CARLOS",100
"AQUINO OLIVOS,MARCO ANTONIO","AQUINO OLIVOS,MARCO ANTONIO",100
"ARAMBULA COSIO,FERNANDO","ARAMBULA COSIO,FERNANDO",100
"ARREOLA MENDOZA,LAURA","ARELLANO,LARA",7.487.922.705
"ARMENDARIZ BORUNDA,JUAN SOCORRO","ARMENDARIZ BORUNDA,JUAN SOCORRO",100
"ARMENDARIZ HERRERA,HECTOR","ARMENDARIZ HERRERA,HECTOR",100
"ARREDONDO HERNANDEZ,LUIS JOSE RENE","ARREDONDO HERNANDEZ,LUIS JOSE",8.913.043.478.260.860
"ARROYO CORDOBA,ISMAEL JAVIER","ARROYO CORDOVA,ISMAEL JAVIER",9.642.857.142.857.140
"ASCANIO GASCA,GABRIEL","ASCANIO GASCA,GABRIEL",100
"ASTUDILLO DE LA VEGA,HORACIO","ASTUDILLO DE LA VEGA,HORACIO",100
"AVALOS GARCIA,JAVIER","AVALOS GARCIA,JAVIER",100
"AVILA VILCHIS,JUAN CARLOS","AVILA VILCHIS,JUAN CARLOS",100
"AVILA ORTIZ,RAUL","AVILA,RAUL",81.25
"AVILES CRUZ,CARLOS","AVILES,CARLOS",8.529.411.764.705.880
"AZORIN VEGA,ERIKA PATRICIA","AZORIN VEGA,ERIKA PATRICIA",100
"BAEZA RAMIREZ,MARIA ISABEL","BAEZA RAMIREZ,MARIA ISABEL",100
"BANUELOS SANCHEZ,PEDRO","BANUELOS SANCHEZ,PEDRO",100
"BARAJAS RAMIREZ,JUAN GONZALO","BARAJAS RAMIREZ,JUAN GONZALO",100
"BARCENAS CASTANEDA,MARIANA","BARCENAS CASTANEDA,MARIANA",100
"BARONA GOMEZ,FRANCISCO","BARONA GOMEZ,FRANCISCO",100
"BARRAGAN RODRIGUEZ,EFRAIN","BARRAGAN,EFRAIN",8.076.923.076.923.070
"BARREIRO RODRIGUEZ,GUADALUPE","BARREIRO RODRIGUEZ,GUADALUPE",100
"BARRIENTOS RODRIGUEZ,ERNESTO","BARRIENTOS,ERNESTO D",7.708.333.333.333.330
"BARRIOS PEREZ,JOSE ANTONIO","BARRIOS PEREZ,JOSE ANTONIO",100
"BARROSO VILLA,JUAN GERARDO","BARROSO VILLA,JUAN GERARDO",100
"BARZANA GARCIA,EDUARDO","BARZANA,EDUARDO",8.333.333.333.333.330
"BAYDYK,TETYANA","BAYDYK,TETYANA",100
"BEAS BUJANOS,JOAQUIN","BEAS BUJANOS,JOAQUIN",100
"BECERRIL LUJAN,BALTAZAR","BECERRIL LUJAN,BALTAZAR",100
"BECERRIL LUJAN,BALTAZAR","BECERRIL,BALTAZAR",8.636.363.636.363.630
"BELTRAN CHACON,RICARDO","BELTRAN CHACON,RICARDO",100
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISAAC",100
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISSAC",9.545.454.545.454.540
"BELTRAN BEACHE,MARIANA","BELTRAN,MARIA",75
"BENAVIDES LOZANO,JORGE ALEJANDRO","BENAVIDES LOZANO,JORGE ALEJANDRO",100
"BENITEZ AGUILAR,JOSE LUIS RODOLFO","BENITEZ AGUILAR,JOSE LUIS RODOLFO",100
"BERNAD BERNAD,MARIA JOSEFA","BERNAD BERNAD,MARIA JOSEFA",100
"BERNAL PONCE,LUIS ARTURO","BERNAL,LUIS ALBERTO",7.246.376.811.594.200
"BORBOLLA ESCOBOZA,JOSE RAFAEL","BORBOLLA ESCOBOZA,JOSE RAFAEL",100
"BOSQUES PADILLA,FRANCISCO JAVIER","BOSQUES PADILLA,FRANCISCO JAVIER",100
"BOTELLO MENDEZ,ANDRES RAFAEL","BOTELLO MENDEZ,ANDRES RAFAEL",100
"BOUDA,JAN","BOUDA,JAN",100
"BRAVO DE LA PARRA,MARIA ALEJANDRA","BRAVO DE LA PARRA,MARIA ALEJANDRA",100
"BRAVO PONCE,ALEJANDRA","BRAVO,ALEJANDRA",81.25
"BRUCE DAVIDSON,NEIL CHARLES","BRUCE DAVIDSON,NEIL CHARLES",100
