NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,ES_MISMA_PERSONA,DETALLES,UBICACION_DATAF,UBICACION_INVENTOR,AÑO_PATENTE,PERIODOS_VALIDOS
"ABSALON CONSTANTINO,ANGEL EDUARDO","ABSALON CONSTANTINO,ANGEL EDUARDO",100,True,Similitud Nombre (100%),,,,
"ABURTO ANELL,JORGE ARTURO","ABURTO ANELL,JORGE ARTURO",100,True,Fecha [patente 2018] válida en: 2018-2022,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2018-2022
"ACEVES DIEZ,ANGEL EMILIO","ACEVES DIEZ,ANGEL EMILIO",100,True,Sin coincidencias,"MEXICO,MEXICO","JALISCO,MX",2017,
"ACOSTA GONZALEZ,GUILLERMO ENRIQUE","ACOSTA GONZALEZ,GUILLERMO ENRIQUE",100,True,Sin coincidencias,"QUERETARO,MEXICO","EL CONTROL,MX",2022,
"ACOSTA SALMON,HECTOR","ACOSTA SALMON,HECTOR",100,True,Similitud Nombre (100%),,,,
"ADAMS,RANDY HOWARD","ADAMS,RANDY HOWARD",100,True,Sin coincidencias,"TABASCO,MEXICO","VILLAHERMOSA,MX",2008,
"AGUILA HERNANDEZ,JACINTO","AGUILA HERNANDEZ,JACINTO",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2017,
"AGUILAR ELGUEZABAL,ALFREDO","AGUILAR ELGUEZABAL,ALFREDO",100,True,Fecha [patente 2012] válida en: 2010-2014,"CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2012,2010-2014
"AGUILAR ESCALANTE,RODOLFO ANTONIO","AGUILAR ESCALANTE,RODOLFO ANTONIO",100,True,Fecha [patente 2018] válida en: 2018-2020,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2018-2020
"AGUILAR FAISAL,JOSE LEOPOLDO","AGUILAR FAISAL,JOSE LEOPOLDO",100,True,Similitud Nombre (100%),,,,
"AGUILAR MENDOZA,GUILLERMO","AGUILAR MENDOZA,GUILLERMO",100,True,Similitud Nombre (100%),,,,
"AGUILAR PLIEGO,JULIA","AGUILAR PLIEGO,JULIA",100,True,Fecha [patente 2019] válida en: 2018-2022,"CIUDAD DE MEXICO,MEXICO","SUCHIAPA,MX",2019,2018-2022
"AGUILAR TOALA,JOSE ELEAZAR","AGUILAR TOALA,JOSE ELEAZAR",100,True,Similitud Nombre (100%),,,,
"AGUILAR VEGA,MANUEL DE JESUS","AGUILAR VEGA,MANUEL DE JESUS",100,True,Fecha [patente 2017] válida en: 2016-2020,"YUCATAN,MEXICO","MERIDA,MX",2017,2016-2020
"AGUILAR RIVERA,JOSE ANTONIO","AGUILAR,JOSE ANTONIO",8.333.333.333.333.330,True,Fecha [patente 2017] válida en: 2016-2020,"CIUDAD DE MEXICO,MEXICO","VERACRUZ,MX",2017,2016-2020
"AGUILAR JIMENEZ,JOSE ROBERTO","AGUILAR,JOSE ROBERTO",8.181.818.181.818.180,True,Fecha [patente 2023] válida en: 2021-2024,"CHIAPAS,MEXICO","BAJA CALIFORNIA,MX",2023,2021-2024
"AGUILAR MEJIA,OMAR","AGUILAR,OMAR",85,True,Fecha [patente 2020] válida en: 2020-2022,"PUEBLA,MEXICO","TLAQUEPAQUE,MX",2020,2020-2022
"AGUILERA CORTES,LUZ ANTONIO","AGUILERA CORTES,LUZ ANTONIO",100,True,Fecha [patente 2013] válida en: 2013-2016,"GUANAJUATO,MEXICO","GUANAJUATO,MX",2013,2013-2016
"AGUILERA GOMEZ,EDUARDO","AGUILERA GOMEZ,EDUARDO",100,True,Sin coincidencias,"GUANAJUATO,MEXICO","GUANAJUATO,MX",2012,
"AGUILAR FAISAL,JOSE LEOPOLDO","AGUILR FAISAL,JOSE  LEOPOLDO",962.962.963,True,Similitud Nombre (98%),,,,
"ALAGON CANO,ALEJANDRO","ALAGON CANO,ALEJANDRO",100,True,Fecha [patente 2011] válida en: 2007-2011,"MORELOS,MEXICO","CUERNAVACA,MX",2011,2007-2011
"ALCANTAR CAMARENA,VICTOR ALFONSO","ALCANTAR CAMARENA,VICTOR ALFONSO",100,True,Similitud Nombre (100%),,,,
"ALDAYA GARDE,IVAN ARITZ","ALDAYA GARDE,IVAN ARITZ",100,True,Sin coincidencias,"NUEVO LEON,MEXICO","SABIÑANIGO,ES",2012,
"ALEKSANDROV,VLADIMIR","ALEKSANDROV,VLADIMIR",100,True,Fecha [patente 2023] válida en: 2011-2025,"PUEBLA,MEXICO","PUEBLA,MX",2023,2011-2025
"ALEMAN VAZQUEZ,LAURA OLIVIA","ALEMAN VAZQUEZ,LAURA OLIVIA",100,True,Sin coincidencias,"HIDALGO,MEXICO","XICO,MX",2018,
"ALEXANDROVA,LARISSA","ALEXANDROVA,LARISSA",100,True,Fecha [patente 2019] válida en: 2018-2022,"CIUDAD DE MEXICO,MEXICO","COPOYA,MX",2019,2018-2022
"ALMEIDA LOYA,SERGIO FABIAN","ALMEIDA LOYA,SERGIO FABIAN",100,True,Fecha [patente 2019] válida en: 2019-2021,"EXTERIOR,USA","CHIHUAHUA,MX",2019,2019-2021
"ALONSO GARCIA,ANA LUCIA","ALONSO GARCIA,ANA LUCIA",100,True,Similitud Nombre (100%),,,,
"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FERNANDO",100,True,Fecha [patente 2011] válida en: 2009-2011,"CIUDAD DE MEXICO,MEXICO","CUILAPAM,MX",2011,2009-2011
"ALONSO MARTINEZ,FERNANDO","ALONSO MARTINEZ,FRENANDO",93.75,True,Fecha [patente 2010] válida en: 2009-2011,"CIUDAD DE MEXICO,MEXICO","CUILAPAM,MX",2010,2009-2011
"ALONSO NUNEZ,GABRIEL","ALONSO NUNEZ,GABRIEL",100,True,Fecha [patente 2017] válida en: 2014-2018,"CHIHUAHUA,MEXICO","BAJA CALIFORNIA,MX",2017,2014-2018
"ALONSO NUNEZ,GABRIEL","ALONSO,GABRIEL",8.333.333.333.333.330,True,Fecha [patente 2006] válida en: 2005-2008,"CHIHUAHUA,MEXICO","CHIHUAHUA,MX",2006,2005-2008
"ALTAGRACIA MARTINEZ,MARINA","ALTAGRACIA MARTINEZ,MARINA",100,True,Fecha [patente 2012] válida en: 2010-2013,"CIUDAD DE MEXICO,MEXICO","XICO,MX",2012,2010-2013
"ALTAMIRANO BUSTAMANTE,MYRIAM MARLENNE","ALTAMIRANO BUSTAMANTE,MYRIAM MARLENE",9.827.586.206.896.550,True,Fecha [patente 2017] válida en: 2015-2018,"CIUDAD DE MEXICO,MEXICO","SUCHIAPA,MX",2017,2015-2018
"ALUJA SCHUNEMAN HOFER,MARTIN RAMON","ALUJA SCHUNEMAN,MARTIN RAMON",9.166.666.666.666.660,True,Similitud Nombre (100%),,,,
"ALVAREZ CONTRERAS,LORENA","ALVAREZ CONTRERAS,LORENA",100,True,Fecha [patente 2012] válida en: 2011-2014,"SIN INSTITUCION DE ADSCRIPCION,SIN INSTITUCION DE ADSCRIPCION","CHIHUAHUA,MX",2012,2011-2014
"ALVAREZ GAYOSSO,CARLOS ANDRES","ALVAREZ GAYOSSO,CARLOS ANDRES",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","SUCHIAPA,MX",2017,
"ALVAREZ MAJMUTOV,ANTON","ALVAREZ MAJMUTOV,ANTON",100,True,Sin coincidencias,"CIUDAD DE MEXICO,MEXICO","TLALNEPANTLA,MX",2017,
"ALVAREZ MEJIA,ANA LAURA","ALVAREZ MEJIA,ANA LAURA",100,True,Sin coincidencias,"MEXICO,MEXICO","XICO,MX",2013,
"ALVAREZ RAMIREZ,FERNANDO","ALVAREZ RAMIREZ,FERNANDO",100,True,Fecha [patente 2018] válida en: 2017-2021,"CIUDAD DE MEXICO,MEXICO","MEXICO CITY,MX",2018,2017-2021
"ALVAREZ MOYA,CARLOS","ALVAREZ,CARLOS",8.684.210.526.315.780,True,Fecha [patente 2020] válida en: 2018-2021,"JALISCO,MEXICO","ESTADO DE MEXICO,MX",2020,2018-2021
"ALVAREZ PEREZ,JOSE","ALVAREZ,JOSE",85,True,"Fecha [patente 2023] válida en: 2021-2024, 2023-2027","NUEVO LEON,MEXICO","PUEBLA,MX",2023,"2021-2024, 2023-2027"
"ALVAREZ,MARIO MOISES","ALVAREZ,MARIO MOISES",100,True,Fecha [patente 2006] válida en: 2006-2010,"NUEVO LEON,MEXICO","APODACA,MX",2006,2006-2010
"ALZATE GAVIRIA,LILIANA MARIA","ALZATE GAVIRIA,LILIANA MARIA",100,True,Similitud Nombre (100%),,,,
"AMBROSIO LAZARO,ROBERTO CARLOS","AMBROSIO LAZARO,ROBERTO CARLOS",100,True,Fecha [patente 2020] válida en: 2020-2024,"CHIHUAHUA,MEXICO","SAN PEDRO CHOLULA,MX",2020,2020-2024
