NOMBRE_INVENTOR
"Valadez Lopez,Jose Juan"
"ZUBIRIA ELIZONDO,Miguel Jorge"
"Choudhury,Rezaul"
"Zapata Abdala,Ohster Edga"
"Medina Valencia,Verona"
"Ramirez Sosa,Pamela Shantal"
"Moran Delgado,Bertha"
"Escobar Lopez,Alfredo"
"Quintero Barajas,Jose Gabriel"
"Bulbarela Croda,Arturo"
"Vazquez Guevara,Miguel Angel"
"Lopez Vallejo,Fabiola Irene"
"Dominguez Esquivel,Jose Manuel"
"Miranda Olvera,Alma Delia"
"Alarcon Hernandez,Jesus Alfonso"
"Perkins,Donald M"
"Martinez,Alfredo"
"Vazquez,Francisco Javier"
"Astigarraga,Tara"
"Sondhi,Neil"
"Goldberg,Itzhack"
"Mosqueda Mejia,Jose R"
"Torres Gomez,Carlos"
"Torres Quiroga,Jose Odon"
"Romero Regalado,Adrian"
"Sic,Steven"
"Cordero,Alejandro Cortina"
"Cordero,Jose"
"Ortega,Jose Pablo Cortina"
"Moreno,Humberto"
"Mandujano,Luis Alberto Aguado"
"Ramirez,Juan Leonardo Soria"
"Arciga,Ismael Orozco"
"Yang,Zane"
"Arhab,Rabah"
"Kovac,Josip"
"Medellin,Alfonso"
"Lee,Sungchul"
"Orozco Perez,Juan Alberto de Jesus"
"Hernandez,Alejandro Gerardo Veyna"
"Novak,Michael"
"Ugolick,Ronald"
"Hodsdon,Jerry G"
"Hong,Le Hoa"
"Brisee,Florence M"
"Villegas,Gildardo Ramirez"
"Aguiluz Aceves,Antonio Juan Ignacio"
"Flores Sanchez,Patricia"
"Aburto Anell,Jorge Arturo"
"Huelke,David"
"Alanis,Guillermo"
"Hernandez,Ramiro Chable"
"Bhattacharyya,Mahesh"
"Villacres Mesias,Diego Fabricio"
"Cervantes Guarneros,Guillermo Cesar"
"Salter,Stuart C"
"Dellock,Paul Kenneth"
"Tena Han,Luis Adrian"
"Vargas Garcia,Carmen Frida"
"Garcia Ruiz,Emmanuel"
"Castro,Sergio"
"Reyes Vidal,Maria Yolanda"
"Asaff Torres,Ali"
"Marin Cruz,Jesus"
"ESTRADA MARTINEZ,Arquimedes"
"Vega Paz,Araceli"
"Montiel Sanchez,Luisa Elena"
"Martinez Palou,Rafael"
"Quej Ake,Luis Manuel"
"Sanchez Garcia,Veronica"
"Benitez Aguilar,Jose Luis Rodolfo"
"Castillo Cervantes,Salvador"
"Orozco Cervantes,Humberto"
"Hernandez Gonzalez,Guillermo"
"Llamas Virgen,Paul"
"Harrington,Shaun E"
"Barajas Gonzalez,Emmanuel"
"Rawlins,Ben"
"Tong,Ricky"
"Ocegueda Gallaga,Victor Hugo"
"Belmares,Alan Rafael"
"Hirota,Toshiyuki"
"Castro Mercado,Sergio Irving"
"Avendano Arenas,Pamela"
"Morales,Jesus R"
"Pickens,Ryan J"
"MEJIA CENTENO,Isidro"
"Montoya De La Fuente,J Ascension"
"Vargas Escudero,Alfredo"
"Moran Pineda,Florencia Marina"
"Camposeco Solis,Roberto"
"Navarrete Bolanos,Juan"
"Miyake,Kevin K"
"Domenech,Angels"
"Cipro,Mateus Batista Torres"
"Casarrubias,Juan Carlos"
"Gomez Ramirez,Marlenne"
"Garcia De Leon,Roberto"
"Rojas Avelizapa,Norma Gabriela"
"Hernandez Gama,Regina"
"Tule,Jesus Alejandro"
"Cabello,Alejandro Garcia"
"Lepez,Dennis Garcia"
"Hernandez,Cynthia Fraga"
"Puc Poot,Francisco Antonio"
"Ramirez,Carlos Mucino"
"Soto,Gerardo Gomez"
"Garcia,Josue Saul Rosario"
"Flores,Nelly Adriana Estrada"
"Rios,Edmundo Leyva"
"Castillo Barcenas,Fidel Nahum"
"Zenteno,Leobardo Stephen Lincoln Strange"
"Abundis,Hector Munguia"
"Yomtow,Samuel Nurko"
"Leyva Rios,Marco Polo"
"Elliot,Dan Nurko"
"Rodriguez,Erick A"
"Loew,Michael F"
"Reyes Archundia,Angel"
"Martinez,Martin Castaneda"
"Leiner,Andrew Michael"
"Tooley,Earnest DeWayne"
"Arche,Ulises Pardo"
"Gomez,Alejandro"
"Hsu,Shyiguei"
"Vela,Godofredo"
"Torres,Alejandro Barrera"
"Dominguez Cuevas,Jesus Edgar"
"Fewell,Mark"
"Hernandez,Benjamin"
"Faust,Michael B"
"Zazueta,Marco A"
"Nguyen,James L"
"Sanchez Garcia,Sergio"
"Montalvo Urbano,Adriana"
"Montes,Jhammel"
"Cruz Solis,Fernando"
"Amador,Hector"
"Garcia,Tania"
"Leyte Guerrero,Florentino"
"Sadott Pacheco y Alcala,Ubaldo"
"Velazquez Cruz,David"
"Acosta Garate,Galicia Mabel"
"McInnis,Allison"
"Oberender,Jens"
"Reyes,Mario"
"Keller,Robert"
"Ryskamp,Mark"
"Manushi,Ligor"
"Moore,Alexander"
"Avalos,Hiram"
"Schoenfeld,Michael"
"Meza Ricano,Irving"
"Reynoso Galvan,Naiki A"
"Villanueva Ponce,Rodrigo"
