NOMBRE_INVENTOR,NOMBRE DEL INVESTIGADOR,Ratio,inventor_id,CVU
"LOPEZ,NYDIA","LOPEZ LIRA,NIDIA",73.0,,404438.0
"STEPHENS,CHRISTOPER R","STEPHENS STEVENS,CHRISTOPHER RHODES",73.0,,16099.0
"STEPHENS,CHRISTOPER","STEPHENS STEVENS,CHRISTOPHER RHODES",73.0,,16099.0
"GARCIA,MARCO","GARCIA JUAREZ,MARCOS",77.0,,273360.0
"MORENO,MARCOS","MORENO IBARRA,MARCO",77.0,fl:ma_ln:pastor-1,17341.0
"GARCIA,IUIS MANUEL","GARCIA FERIA,LUIS MANUEL",78.0,,98872.0
"LOPEZ,JORGE LOUIS","LOPEZ LOPEZ,JORGE LUIS",78.0,,122687.0
"TALAVERA,MARINA","TALAVERA ROJAS,MARTIN",80.0,,111873.0
"BARRAGAN,EFRAIN","BARRAGAN RODRIGUEZ,EFRAIN",80.0,,90295.0
"CALDERON,RAFAEL","CALDERON CONTRERAS,RAFAEL",80.0,,220632.0
"CRUZ,ISRAEL","CRUZ VEGA,ISRAEL",80.0,fl:is_ln:ruiz-2,162347.0
"CRUZ,PEDRO","CRUZ NOVA,PEDRO",80.0,,632591.0
"ESTRADA,JORGE","ESTRADA MARTINEZ,JORGE",80.0,,169876.0
"FLORES,EMIGDIO Z","FLORES LOPEZ,EMIGDIO Z.",80.0,,527515.0
"GARCIA,ANAMARIA","GARCIA BORES,ANA MARIA",80.0,,91884.0
"GUEVARA,CESAR","GUEVARA GONZALEZ,CESAR",80.0,,449183.0
"GUILLEN,ALEJANDRO","GUILLEN SANTIAGO,ALEJANDRO",80.0,,38401.0
"MORALES,FRANCISCO J","MORALES LEAL,FRANCISCO JOSE",80.0,,10345.0
"PADILLA,CESAR","PADILLA ALTAMIRA,CESAR",80.0,fl:ce_ln:padilla-1,210866.0
"RUIZ,GABRIEL","RUIZ AYMA,GABRIEL",80.0,,297357.0
"AGUILAR,JOSE ROBERTO","AGUILAR JIMENEZ,JOSE ROBERTO",81.0,fl:jo_ln:aguilarante-1,292797.0
"AGUILAR,MARIO","SANCHEZ AGUILAR,MARIO",81.0,fl:ma_ln:aguilar-6,102066.0
"CASTANO,GUILLERMO","CASTANON NAJERA,GUILLERMO",81.0,fl:gu_ln:castano-1,11823.0
"CORELLA,MARIA ALBA GUADALUPE","CORELLA MADUENO,MARIA ALBA GUADALUPE",81.0,,95009.0
"CORTES,ARTURO","CORTES CUEVAS,ARTURO",81.0,,348745.0
"CUEVAS,RICARDO","CUEVAS MORENO,RICARDO",81.0,,200919.0
"ESCOBAR,GERARDO","ESCOBAR GALINDO,GERARDO",81.0,fl:ge_ln:escobar-2,35614.0
"FLORES,DANIEL","FLORES CURIEL,DANIEL",81.0,fl:ra_ln:floresaguirre-1,21427.0
"FLORES,FERNANDO","FLORES GARCIA,FERNANDO",81.0,fl:fe_ln:flores-3,1743.0
"GARCIA,ALBERTO","GARCIA QUIROZ,ALBERTO",81.0,fl:lu_ln:garcialuna-1,31929.0
"GARCIA,CESAR","GARCIA GARCIA,CESAR",81.0,,26171.0
"GARCIA,MARIO","GARCIA BERGER,MARIO",81.0,fl:ma_ln:lannoy-1,72354.0
"GUTIERREZ,PEDRO","GUTIERREZ CASTRELLON,PEDRO",81.0,,20427.0
"HERRERA,LUIS EDUARDO","HERRERA AZTEGUI,LUIS EDUARDO",81.0,fl:lu_ln:herrera-2,208423.0
"MARQUEZ,ADRIAN","MARQUEZ NAVARRO,ADRIAN",81.0,,44861.0
"MENDEZ,MARIO ALBERTO","MENDEZ DORADO,MARIO ALBERTO",81.0,,266470.0
"MORALES,VERONICA","MORALES TLALPAN,VERONICA",81.0,,25386.0
"MORENO,MARCO","MORENO IBARRA,MARCO",81.0,,17341.0
"ORDONEZ,LUIS MIGUEL","ORONA DOMINGUEZ,LUIS MIGUEL",81.0,,312327.0
"OROZCO,SERGIO","OROZCO CIRILO,SERGIO",81.0,,37288.0
"RAMIREZ,NORMA","RAMIREZ RAMIREZ,NORMA",81.0,,36247.0
"ROBERTS,DAVID","ROBLES ORTIZ,DAVID",81.0,,390710.0
