patent_number,patent_title,patent_date,inventor_city,inventor_country,inventor_first_name,inventor_first_seen_date,inventor_id,inventor_last_name,inventor_last_seen_date,inventor_lastknown_city,inventor_lastknown_country,inventor_sequence,inventor_state,inventor_state_fips,inventor_total_num_patents
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Reyna,2017-08-29,fl:re_ln:reyesmartinez-2,Reyes Martinez,2019-01-01,Mexico City,MX,6,,,5
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Aristeo,2014-08-26,fl:ar_ln:estradabuendia-1,Estrada Buendia,2019-02-26,Mexico City,MX,4,,,7
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Eugenio Alejandro,2013-12-03,fl:eu_ln:floresoropeza-1,Flores Oropeza,2019-01-01,Mexico City,MX,1,,,17
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Fernando,2008-08-26,fl:fe_ln:alvarezramirez-1,Alvarez Ramirez,2024-03-05,Mexico City,MX,7,,,22
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Flavio Salvador,2014-08-26,fl:fl_ln:vazquezmoreno-1,Vazquez Moreno,2024-03-05,Mexico City,MX,9,,,23
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Jose Gonzalo,2016-08-02,fl:jo_ln:hernandezcortez-1,Hernandez Cortez,2021-08-24,Mexico City,MX,3,,,9
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Arquimedes,2016-08-02,fl:ar_ln:estradamartinez-2,ESTRADA MARTINEZ,2020-06-09,Mexico City,MX,8,,,13
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Cesar Andres,2016-06-21,fl:ce_ln:floressandoval-1,FLORES SANDOVAL,2024-03-05,Mexico City,MX,0,,,16
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Laura Veronica,2014-08-26,fl:la_ln:castrosotelo-1,Castro Sotelo,2019-02-26,Mexico City,MX,5,,,13
10125226,"Scale-up process of bifunctionalized triblock copolymers with secondary and tertiary amines, with application in dewatering and desalting of heavy crude oils",2018-11-13,Mexico City,MX,Alfonso,2016-08-02,fl:al_ln:lopezortega-1,LOPEZ ORTEGA,2022-03-01,Mexico City,MX,2,,,14
