NOMBRE DEL INVESTIGADOR,NOMBRE_INVENTOR,Ratio
"VAZQUEZ GUEVARA,MIGUEL ANGEL","VAZQUEZ GUEVARA,MIGUEL ANGEL",100.0
"DOMINGUEZ ESQUIVEL,JOSE MANUEL","DOMINGUEZ ESQUIVEL,JOSE MANUEL",100.0
"MIRANDA OLVERA,ALMA DELIA","MIRANDA OLVERA,ALMA DELIA",100.0
"MARTINEZ,ALFREDO","BARRALES MARTINEZ,ALFREDO",100.0
"MARTINEZ,ALFREDO","CERVANTES MARTINEZ,ALFREDO EDUARDO",100.0
"MARTINEZ,ALFREDO","LAGUNAS MARTINEZ,ALFREDO",100.0
"MARTINEZ,ALFREDO","ORDENANA MARTINEZ,ALFREDO SILVERIO",100.0
"MARTINEZ,ALFREDO","ROSAS MARTINEZ,ALFREDO",100.0
"VAZQUEZ,FRANCISCO JAVIER","LUNA VAZQUEZ,FRANCISCO JAVIER",100.0
"VAZQUEZ,FRANCISCO JAVIER","PEREZ VAZQUEZ,FRANCISCO JAVIER",100.0
"CORDERO,JOSE","GARCIA CORDERO,JOSE LUIS",100.0
"MORENO,HUMBERTO","GONZALEZ MORENO,HUMBERTO RAYMUNDO",100.0
"MORENO,HUMBERTO","MORALES MORENO,HUMBERTO",100.0
"FLORES SANCHEZ,PATRICIA","FLORES SANCHEZ,PATRICIA",100.0
"ABURTO ANELL,JORGE ARTURO","ABURTO ANELL,JORGE ARTURO",100.0
"CASTRO,SERGIO","ALCOCER MARTINEZ DE CASTRO,SERGIO MANUEL",100.0
"CASTRO,SERGIO","ZAMORA CASTRO,SERGIO AURELIO",100.0
"REYES VIDAL,MARIA YOLANDA","REYES VIDAL,MARIA YOLANDA",100.0
"ASAFF TORRES,ALI","ASAFF TORRES,ALI JESUS",100.0
"MARIN CRUZ,JESUS","MARIN CRUZ,JESUS",100.0
"VEGA PAZ,ARACELI","VEGA PAZ,ARACELI",100.0
"MONTIEL SANCHEZ,LUISA ELENA","MONTIEL SANCHEZ,LUISA ELENA",100.0
"MARTINEZ PALOU,RAFAEL","MARTINEZ PALOU,RAFAEL",100.0
"QUEJ AKE,LUIS MANUEL","QUEJ AKE,LUIS MANUEL",100.0
"SANCHEZ GARCIA,VERONICA","SANCHEZ GARCIA,VERONICA",100.0
"BENITEZ AGUILAR,JOSE LUIS RODOLFO","BENITEZ AGUILAR,JOSE LUIS RODOLFO",100.0
"CASTILLO CERVANTES,SALVADOR","CASTILLO CERVANTES,SALVADOR",100.0
"HERNANDEZ GONZALEZ,GUILLERMO","HERNANDEZ GONZALEZ,GUILLERMO",100.0
"MORALES,JESUS R","DE LEON MORALES,JESUS",92.85714285714286
"MORALES,JESUS R","MARTINEZ MORALES,JESUS FLAVIO",92.85714285714286
"MORALES,JESUS R","RESENDIZ MORALES,JESUS EDUARDO",92.85714285714286
"MORALES,JESUS R","ROMO MORALES,JESUS GERARDO",92.85714285714286
"MEJIA CENTENO,ISIDRO","MEJIA CENTENO,ISIDRO",100.0
"MONTOYA DE LA FUENTE,J ASCENSION","MONTOYA DE LA FUENTE,J. ASCENCION",95.38461538461539
"VARGAS ESCUDERO,ALFREDO","VARGAS ESCUDERO,ALFREDO",100.0
"MORAN PINEDA,FLORENCIA MARINA","MORAN PINEDA,FLORENCIA MARINA",100.0
"CAMPOSECO SOLIS,ROBERTO","CAMPOSECO SOLIS,ROBERTO",100.0
"NAVARRETE BOLANOS,JUAN","NAVARRETE BOLANOS,JUAN",100.0
"GOMEZ RAMIREZ,MARLENNE","GOMEZ RAMIREZ,MARLENNE",100.0
"GARCIA DE LEON,ROBERTO","GARCIA DE LEON,ROBERTO",100.0
"ROJAS AVELIZAPA,NORMA GABRIELA","ROJAS AVELIZAPA,NORMA GABRIELA",100.0
"HERNANDEZ GAMA,REGINA","HERNANDEZ GAMA,REGINA",100.0
"GOMEZ,ALEJANDRO","ALONSO GOMEZ,ALEJANDRO RAFAEL",100.0
"GOMEZ,ALEJANDRO","GARZA GOMEZ,ALEJANDRO",100.0
"GOMEZ,ALEJANDRO","GIMENEZ GOMEZ,ALEJANDRO JOSE",100.0
"GOMEZ,ALEJANDRO","GOMEZ GOMEZ,ALEJANDRO",100.0
"GOMEZ,ALEJANDRO","GONZALEZ GOMEZ,ALEJANDRO",100.0
"HERNANDEZ,BENJAMIN","GARCIA HERNANDEZ,BENJAMIN AZIEL",100.0
"HERNANDEZ,BENJAMIN","TRUJILLO HERNANDEZ,BENJAMIN",100.0
"SANCHEZ GARCIA,SERGIO","SANCHEZ GARCIA,SERGIO",100.0
"GARCIA,TANIA","GUTIERREZ GARCIA,TANIA ANAID",100.0
"SADOTT PACHECO Y ALCALA,UBALDO","PACHECO Y ALCALA,UBALDO SADOTT",100.0
"REYES,MARIO","FLORES REYES,MARIO",100.0
"REYES,MARIO","PEDRAZA REYES,MARIO",100.0
"VILLANUEVA PONCE,RODRIGO","VILLANUEVA PONCE,RODRIGO",100.0
"MEJIA PEREZ,GUSTAVO","MEJIA PEREZ,GUSTAVO",100.0
"DIAZ,PEDRO A","RUIZ DIAZ,PEDRO",90.9090909090909
"REYES,RAUL G","CARDIEL REYES,RAUL",90.9090909090909
"ANCHEYTA JUAREZ,JORGE","ANCHEYTA JUAREZ,JORGE",100.0
"RAMIREZ SOLIS,JORGE FERNANDO","RAMIREZ SOLIS,JORGE FERNANDO",100.0
"RAYO MAYORAL,PATRICIA","RAYO MAYORAL,PATRICIA",100.0
"CENTENO NOLASCO,GUILLERMO","CENTENO NOLASCO,GUILLERMO",100.0
"MARROQUIN SANCHEZ,GUSTAVO JESUS","MARROQUIN SANCHEZ,GUSTAVO JESUS",100.0
"GONZALEZ,EMMANUEL B","HEREDIA GONZALEZ,EMMANUEL",94.44444444444444
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISAAC",100.0
"ZAMUDIO RIVERA,LUIS SILVESTRE","ZAMUDIO RIVERA,LUIS SILVESTRE",100.0
"DOMINGUEZ AGUILAR,MARCO ANTONIO","DOMINGUEZ AGUILAR,MARCO ANTONIO",100.0
"MENA CERVANTES,VIOLETA YASMIN","MENA CERVANTES,VIOLETA YASMIN",100.0
"HERNANDEZ ALTAMIRANO,RAUL","HERNANDEZ ALTAMIRANO,RAUL",100.0
"MORENO,JAIME","DUENAS MORENO,JAIME",100.0
"MORENO,JAIME","ESCOTO MORENO,JAIME ANTONIO",100.0
"GARCIA,CESAR","ABARCA GARCIA,CESAR ANTONIO",100.0
"GARCIA,CESAR","ACOSTA GARCIA,CESAR MARTIN",100.0
