Nombre Buscado,Mejor Coincidencia,Similitud
"ALONSO SANCHEZ,JORGE","ALONSO SANCHEZ,JORGE",100.0
"AZAOLA GARRIDO,ELENA","AZAOLA GARRIDO,ELENA",100.0
"CALDERON DIAZ BARRIGA,GRACIELA","CALDERON DIAZ BARRIGA,GRACIELA",100.0
"RZEDOWSKI ROTTER,JERZY","RZEDOWSKI ROTTER,JERZY",100.0
"PEREZ ANGON,MIGUEL ANGEL","PEREZ ANGON,MIGUEL ANGEL",100.0
"MEDINA NOYOLA,MAGDALENO","MEDINA NOYOLA,MAGDALENO",100.0
"MORAN LOPEZ,JOSE LUIS","MORAN LOPEZ,JOSE LUIS",100.0
"LLAMA LEAL,MIGUEL ANGEL","LLAMA LEAL,MIGUEL ANGEL",100.0
"SANTIBAÑEZ DAVILA,VICTOR ADRIAN","SANTIBAÑEZ DAVILA, VICTOR ADRIAN",98.41269841269842
"SOTO RODRIGUEZ,ROGELIO","SOTO RODRIGUEZ,ROGELIO",100.0
"VALDES PEREZGASGA,FRANCISCO","VALDES PEREZGASGA,FRANCISCO",100.0
"HAHN SCHLAM,FEDERICO FELIX","HAHN SCHLAM,FEDERICO FELIX",100.0
"HUERTA QUINTANILLA,RODRIGO","HUERTA QUINTANILLA,RODRIGO",100.0
"LUCIO MARTINEZ,JOSE LUIS","LUCIO MARTINEZ,JOSE LUIS",100.0
"HERNANDEZ VELA SALGADO,EDMUNDO","HERNANDEZ VELA SALGADO,EDMUNDO",100.0
"SANCHEZ RUIZ,ENRIQUE ERNESTO","SANCHEZ RUIZ,ENRIQUE ERNESTO",100.0
"MENDOZA ALVAREZ,JULIO GREGORIO","MENDOZA ALVAREZ,JULIO GREGORIO",100.0
"GONZALEZ DE LA CRUZ,GERARDO ARCADIO","GONZALEZ DE LA CRUZ,GERARDO ARCADIO",100.0
"HERNANDEZ LERMA,ONESIMO","HERNANDEZ LERMA,ONESIMO",100.0
"SERRANO SANTOYO,ARTURO","SERRANO SANTOYO,ARTURO",100.0
"ZAPATA SCHAFFELD,FRANCISCO JUAN","ZAPATA SCHAFFELD,FRANCISCO JUAN",100.0
