AÑO,CVU,NOBILIS,NOMBRE DEL INVESTIGADOR,NIVEL,FECHA DE INICIO DE VIGENCIA,FECHA DE FIN DE VIGENCIA,ÁREA DEL CONOCIMIENTO,DISCIPLINA,SUBDISCIPLINA,ESPECIALIDAD,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ENTIDAD FEDERATIVA,PAÍS
2006,37269,DR.,"ABARCA ROJANO, EDGAR",C,2006-01-01,2008-12-31,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,CIENCIAS Y SERVICIOS DE LA SALUD,INMUNOLOG-A,INSTITUTO POLITÉCNICO NACIONAL,ESCUELA SUPERIOR DE MEDICINA,CIUDAD DE MÉXICO,MÉXICO
2006,21747,DRA.,"ABBUD LOZOYA, KARIN AYME",1,2004-01-01,2006-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,ANATOMIA,METABOLISMO DE HUESO Y CARTILAGO,SECRETARIA DE SALUD,No Disponible,CIUDAD DE MÉXICO,MÉXICO
2006,19177,DR.,"ABDULLAEV JAFAROVA, FIKRAT",2,2005-01-01,2008-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,BIOQUIMICA,"BUSQUEDA E INVESTIGACION DE SUSTANCIAS ANTITUMORALES,NATURAL",SECRETARIA DE SALUD,INSTITUTO NACIONAL DE PEDIATRIA,CIUDAD DE MÉXICO,MÉXICO
2006,13070,DR.,"ABITIA CARDENAS, LEONARDO ANDRES",1,2006-01-01,2009-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,PESCA,DINAMICA DE POBLACION,TAXONOMIA Y ECOLOGIA DE PECES,INSTITUTO POLITÉCNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,BAJA CALIFORNIA SUR,MÉXICO
2006,5885,DR.,"ABOITES AGUILAR, JAIME",3,2005-01-01,2009-12-31,V.- CIENCIAS SOCIALES,ECONOMIA,ECONOMIA INDUSTRIAL,DESARROLLO TECNOLOGICO,UNIVERSIDAD AUTONOMA METROPOLITANA,DIVISION DE CIENCIAS SOCIALES Y HUMANIDADES. XOCHIMILCO,CIUDAD DE MÉXICO,MÉXICO
2006,8479,DR.,"ABOITES AGUILAR, LUIS",2,2005-01-01,2009-12-31,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,HISTORIA SOCIAL,HISTORIA DE LOS APROVECHAMIENTOS HIDRAULICOS,"EL COLEGIO DE MEXICO, A.C.",CENTRO DE ESTUDIOS HISTORICOS,CIUDAD DE MÉXICO,MÉXICO
2006,10132,DR.,"ABOITES MANRIQUE, GILBERTO",1,2005-01-01,2008-12-31,V.- CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA RURAL,,UNIVERSIDAD AUTONOMA DE COAHUILA,No Disponible,COAHUILA DE ZARAGOZA,MÉXICO
2006,4341,DR.,"ABOITES MANRIQUE, VICENTE",2,2006-01-01,2010-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,OPTICA,LASERES Y OPTO-ELECTRONICA,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C. (CIO)",AREA DE INVESTIGACION,GUANAJUATO,MÉXICO
2006,2383,DR.,"ABREU GROBOIS, FEDERICO ALBERTO",1,2004-01-01,2006-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,GENETICA,GENETICA DE POBLACIONES,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,SINALOA,MÉXICO
2006,21903,DR.,"ABUD ARCHILA, MIGUEL",1,2006-01-01,2008-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,AGRONOMIA,TRATAMIENTOS POST-COSECHA DE ALIMENTOS CON ENFASIS EN SECADO,TECNOLÓGICO NACIONAL DE MÉXICO,INSTITUTO TECNOLÓGICO DE TUXTLA GUTIERREZ,CHIAPAS,MÉXICO
2006,21717,DR.,"ABURTO ANELL, JORGE ARTURO",1,2006-01-01,2008-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,BIOTECNOLOGIA,BIOTECNOLOGIA,"POL-MEROS NATURALES, RECONOCIMIENTO MOLECULAR Y BIOCAT-LISIS",INSTITUTO MEXICANO DEL PETROLEO,DIRECCION EJECUTIVA DE INVESTIGACION Y POSGRADO,CIUDAD DE MÉXICO,MÉXICO
2006,25662,DRA.,"ABURTO ESPINA, ANDREA LUISA",C,2006-01-01,2006-12-31,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,FISICA DEL ESTADO SOLIDO,ESTRUCTURA ELECTRONICA DE SOLIDOS Y SUPERCONDUCTIVIDAD,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,FACULTAD DE CIENCIAS,CIUDAD DE MÉXICO,MÉXICO
2006,120798,DR.,"ABURTO OROPEZA, MARCO OCTAVIO",C,2006-01-01,2008-12-31,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,BIOLOGIA MARINA,ECOLOGIA DE PECES,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,AREA INTERDISCIPLINARIA DE CIENCIAS DEL MAR,BAJA CALIFORNIA SUR,MÉXICO
2006,121526,DR.,"ACCINELLI GAMBA, ELVIO",2,2006-01-01,2009-12-31,V.- CIENCIAS SOCIALES,ECONOMIA,TEORIA ECONOMICA,ECONOMIA MATEMATICA,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD XOCHIMILCO,CIUDAD DE MÉXICO,MÉXICO
2006,25262,M. EN C.,"ACEVEDO ARTEAGA, LAURA ALICIA",C,2006-01-01,2006-12-31,II.- BIOLOGÍA Y QUÍMICA,QUIMICA,QUIMICA,PRODUCTOS NATURALES,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,FACULTAD DE QUIMICA,CIUDAD DE MÉXICO,MÉXICO
2006,7307,DR.,"ACEVEDO CONTLA, PEDRO JESUS",1,2004-01-01,2007-12-31,VII.- INGENIERÍAS ,INGENIERIA DE COM. ELECT. Y CONTROL,COMPUTACION,OBTENCION DE IMAGENES POR ULTRASONIDO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE INVESTIGACIONES EN MATEMATICAS APLICADAS..IIMAS,CIUDAD DE MÉXICO,MÉXICO
2006,30438,DR.,"ACEVEDO FERNANDEZ, JUAN JOSE",C,2004-01-01,2006-12-31,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD Y AMBIENTE,FISIOLOGIA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE MEDICINA,MORELOS,MÉXICO
2006,31844,DRA.,"ACEVEDO GASMAN, FRANCISCA MARIA JOSE",C,2004-01-01,2006-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,GENETICA AGRONOMICA,BIOSEGURIDAD,COMISION NACIONAL PARA EL CONOCIMIENTO Y USO DE LA BIODIVERSIDAD,No Disponible,CIUDAD DE MÉXICO,MÉXICO
2006,123260,DR.,"ACEVEDO HERNANDEZ, GUSTAVO JAVIER",C,2006-01-01,2008-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,BIOTECNOLOGIA,BIOTECNOLOGIA AGRICOLA,BIOLOGIA MOLECULAR,"CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISEÑO DEL ESTADO DE JALISCO, A.C. (CIATEJ)",UNIDAD IRAPUATO,GUANAJUATO,MÉXICO
2006,33929,DR.,"ACEVEDO MASCARUA, JOAQUIN",1,2006-01-01,2008-12-31,VII.- INGENIERÍAS ,INGENIERIA QUIMICA,PROCESO,SINTESIS Y DISEÑO DE PROCESOS POR COMPUTADORA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS MONTERREY,NUEVO LEÓN,MÉXICO
2006,39375,DRA.,"ACEVEDO RODRIGO, ARIADNA MARIA",C,2006-01-01,2008-12-31,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,HISTORIA SOCIAL,"HISTORIA DE LA EDUCACION, 1876-1940.",UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DEPTO. DE INVESTIGACIONES EDUCATIVAS,TAMAULIPAS,MÉXICO
2006,20152,DR.,"ACEVEDO SANDOVAL, OTILIO ARTURO",1,2005-01-01,2007-12-31,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,EDAFOLOGIA,"GENESIS Y CLASIFICACION DE SUELOS, MINERALOGIA DE LA FRACCIO",UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,INSTITUTO DE INVESTIGACIONES EN CIENCIAS DE LA TIERRA,HIDALGO,MÉXICO
2006,3952,DRA.,"ACEVEDO VALDES, MARIA ESTHER",2,2005-01-01,2009-12-31,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,HISTORIA DEL ARTE,SIGLO XIX Y XX MEXICANO,INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA (INAH),DIRECCION DE ESTUDIOS HISTORICOS,CIUDAD DE MÉXICO,MÉXICO
