Inventor,inventor_id,a
Aarón Fernando González Córdova,fl:aa_ln:gonzalezcordova-1,
Abraham Duenas De La Cruz,fl:ab_ln:duenasdelacruz-1,
Abraham Gómez López,fl:ab_ln:lopez-2,
Adma Elena Faraon Chaul Huerta,fl:ad_ln:faraonchaulhuerta-1,
Adrián Enrique Macouzet Díaz Leal,fl:ad_ln:macouzetdiazleal-1,
Adriana de Jesus Aguirre Gutierrez,fl:ad_ln:aguirregutierrez-1,
Alan Armando GARCIA GONZALEZ,fl:al_ln:garciagonzalez-1,
Alan Federico Camacho Velazquez,fl:al_ln:velazquez-1,
Alberto Checa Rojas,fl:al_ln:checarojas-1,
Alberto Montoya,fl:al_ln:montoya-1,
Alberto Osio Hernandez-Pons,fl:al_ln:osiohernandezpons-1,
Alberto Sanchez,fl:al_ln:sanchez-10,
Alejandro A. Elizondo,fl:al_ln:elizondo-1,
Alejandro Cortina-Cordero,fl:al_ln:cortinacordero-1,
Alejandro Enrique Gonzalez,fl:al_ln:gonzalez-20,
Alejandro Espinosa Ruiz,fl:al_ln:espinosaruiz-1,
Alejandro Juarez Corona,fl:al_ln:juarezcorona-1,
Alejandro Leon Escalera,fl:al_ln:escalera-1,
Alejandro Ortega Rodríguez,fl:al_ln:ortegarodriguez-1,
Alejandro Rosas Vazquez,fl:al_ln:rosasvazquez-1,
Alexei F. Licea-Navarro,fl:al_ln:liceanavarro-1,
Alfonso Cardenas,fl:al_ln:cardenas-4,
Alfonso Izquierdo Garcia,fl:al_ln:garcia-24,
Alfonso Javier Barragán Rodríguez,fl:al_ln:barraganrodriguez-1,
Alfred Zehe,fl:al_ln:zehe-1,
Alfredo Diaz Fernandez,fl:al_ln:diazfernandez-1,
Alfredo Gallegos,fl:al_ln:gallegos-1,
Alfredo Ortiz,fl:al_ln:ortiz-5,
Alfredo Rodriguez,fl:al_ln:rodriguez-36,
Alicia del Rayo Jaramillo Jacob,fl:al_ln:jaramillojacob-1,
Alicia Vidal Ortiz,fl:al_ln:ortiz-2,
Allan Alberto Mejia Jaramillo,fl:al_ln:mejiajaramillo-1,
Alvaro Pardo Ramos,fl:al_ln:ramos-7,
Ana Maria Urrea,fl:an_ln:urrea-1,
Andres Encinas,fl:an_ln:encinas-1,
Andres F. Rodriguez-Jasso,fl:an_ln:rodriguezjasso-1,
Andres Godinez,fl:an_ln:godinez-1,
Andres Munoz Ruiz,fl:an_ln:munozruiz-1,
Andres Omar Alvarez Lopez,fl:an_ln:alvarezlopez-1,
Andres Rodrigo Garcia Morlet,fl:an_ln:morlet-1,
Angel Emilio Aceves Diez,fl:an_ln:acevesdiez-1,
Angel Reyes Archundia,fl:an_ln:reyesarchundia-1,
Antonio Espinosa,fl:an_ln:espinosa-5,
Antonio Espiritu Santo Rincon,fl:an_ln:santorincon-1,
Antonio Paredes,fl:an_ln:paredes-1,
Antonio Zenteno Ramirez,fl:an_ln:zentenoramirez-1,
Araceli Olguín-Jimenez,fl:ar_ln:olguinjimenez-1,
Arie Jusidman Rubinstein,fl:ar_ln:rubinstein-2,
Armando Sedano Hernández,fl:ar_ln:hernandez-9,
Armando Zambrano-Huerta,fl:ar_ln:zambranohuerta-1,
Artemio Gonzalez Acevedo,fl:ar_ln:acevedo-1,
Arturo A. Ortiz Rivas,fl:ar_ln:rivas-2,
Arturo Cruz,fl:ar_ln:cruz-10,
Arturo Hjort Delgado,fl:ar_ln:delgado-1,
Arturo Ismael Quinto,fl:ar_ln:quinto-1,
Arturo Romero,fl:ar_ln:romero-3,
Arturo Sanchez Garcia,fl:ar_ln:garcia-4,
Arturo Santos,fl:ar_ln:santos-5,
