NOMBRE LIMPIO
"VERMA JAISWAL,SURENDRA PAL"
"ALONSO SANCHEZ,JORGE"
"AZAOLA GARRIDO,ELENA"
"CALDERON DIAZ BARRIGA,GRACIELA"
"RZEDOWSKI ROTTER,JERZY"
"PEREZ ANGON,MIGUEL ANGEL"
"MEDINA NOYOLA,MAGDALENO"
"MORAN LOPEZ,JOSE LUIS"
"SANTIBAÑEZ DAVILA,VICTOR ADRIAN"
"SOTO RODRIGUEZ,ROGELIO"
"VALDES PEREZGASGA,FRANCISCO"
"HAHN SCHLAM,FEDERICO FELIX"
"HUERTA QUINTANILLA,RODRIGO"
"HERNANDEZ VELA SALGADO,EDMUNDO"
"SANCHEZ RUIZ,ENRIQUE ERNESTO"
"MENDOZA ALVAREZ,JULIO GREGORIO"
"GONZALEZ DE LA CRUZ,GERARDO ARCADIO"
"SERRANO SANTOYO,ARTURO"
"ZAPATA SCHAFFELD,FRANCISCO JUAN"
"VELASCO BELMONT,ROSA MARIA"
"PALAZON MAYORAL,MARIA ROSA"
"DARSZON ISRAEL,ALBERTO"
"LARA LARA,JOSE RUBEN"
"MARINONE MOSCHETTO,SILVIO GUIDO LORENZO"
"GOMEZ VALDES,JOSE"
"BÜCKLE RAMIREZ,LUIS FERNANDO"
"OSORIO SAUCEDO,RUPERTO"
"JOSEPH NATHAN,PEDRO"
"JUARISTI COSIO,EUSEBIO"
"MORALES RIOS,MARTHA SONIA"
"GOROSTIZA Y ORTEGA,LUIS GABRIEL"
"BONILLA ESTRADA,MOISES"
"ORTEGA GUTIERREZ,FERNANDO"
"RICKARDS CAMPBELL,JORGE EDUARDO"
"JOSE Y YACAMAN,MIGUEL"
"PEREZ CAMPOS,RAMIRO"
"AVALOS BORJA,MIGUEL"
"MARTINEZ MEKLER,GUSTAVO CARLOS"
"SCHABES RETCHKIMAN,PABLO SAMUEL"
"DE LA GARZA Y CAMINO,MARIA DE LAS MERCEDES GUADAL"
"GONZALEZ VALENZUELA,JULIANA"
"LOPEZ AUSTIN,ALFREDO FEDERICO"
"CYPHERS TOMIC,ANN MARIE"
"GAY GARCIA,CARLOS"
"FERNANDEZ GARCIA,MARTHA RAQUEL"
"ALVAREZ GALLEGOS,JAIME"
"REYES LOPEZ,PEDRO ANTONIO"
"ROSAS PEREZ,IRMA AURORA"
"VON WOBESER HOEPFNER,GISELA"
"DE ICAZA HERRERA,MIGUEL"
"VELAZQUEZ DELGADO,JORGE"
"SERRA PUCHE,MARIA DEL CARMEN"
"BUENO AGUILAR,GRACIELA MARGARITA"
"BOILS MORALES,GUILLERMO"
"LOPEZ ROMERO,EVERARDO"
"TAMAYO Y SALMORAN,ROLANDO EDUARDO"
"PEREZ MONTFORT,RUY ENRIQUE"
"CASTAINGTS TEILLERY,JEAN CLAUDE"
"VIVEROS Y MALDONADO,JOSE GERMAN"
"SANCHEZ ESQUIVEL,SERGIO"
"ESPINOSA GARCIA,GUILLERMO CIRANO"
"SOCOLOVSKY VAJOVSKY,MIGUEL"
"ORTIZ CRUZ,ETELBERTO"
"PEÑA CHAPA,JUAN LUIS"
"KURI HARCUCH,WALID"
"VIZCARRA MENDOZA,MARIO GONZALO"
"URIAS HERMOSILLO,JESUS"
"GARCIA DIAZ,ALBERTO ALEJANDRO"
"CHAMORRO ESCALANTE,JORGE ARTURO"
"HERREJON PEREDO,CARLOS"
"LIRA GONZALEZ,ANDRES"
"ARIAS ROZAS,MARIA PATRICIA"
"VERNON CARTER,EDUARDO JAIME"
"DURAND ARP NISEN,JORGE GUILLERMO"
"MIRANDA GODINEZ,FRANCISCO"
"ACEVES RUIZ,JORGE"
"SALINAS BRAVO,VICTOR MANUEL"
"CERVANTES VEGA,CARLOS"
"LUGO HUBP,JOSE INOCENTE"
"OTERO COLINA,GABRIEL"
"DE URQUIJO CARMONA,JAIME"
"PAZOS RANGEL,RODOLFO ABRAHAM"
"SANTILLAN BACA,ROSA LUISA"
"SERRANO GOMEZ,ENRIQUE"
"BURILLO AMEZCUA,SOFIA GUILLERMINA"
"DE MICHELI SERRA,ALFREDO ALESSANDRO"
"DE LOS REYES GARCIA,AURELIO"
"SALGADO CERVANTES,MARCO ANTONIO"
"BAÑOS RAMIREZ,OTHON"
"BARTRA MURIA,ROGER"
"GARCIA GALINDO,HUGO SERGIO"
"MALACARA HERNANDEZ,JUAN MANUEL"
"MC CLUNG HEUMANN,EMILY SEITZ"
"ACOSTA NAJARRO,DWIGHT ROBERTO"
"GUTIERREZ GARZA,ESTHELA MARIA"
"VINIEGRA VELAZQUEZ,LEONARDO ENRIQUE"
"PEÑA DIAZ,ANTONIO CALVIN"
"VILLAFUERTE Y CASTREJON,MARIA ELENA DEL REFUGIO"
"LOPEZ COLOME,ANA MARIA"
"PEREZ Y PERAZA,JORGE ALBERTO"
"RIVERA REBOLLEDO,JOSE MANUEL"
"CORONADO GALLARDO,MANUEL"
"PEREZ ENRIQUEZ,HECTOR ROMAN"
"GOMEZ ARROYO,SANDRA LUZ"
"VILLALOBOS Y PIETRINI,RAFAEL DE JESUS"
"CALLEJA GJUMLICH,JORGE HUGO"
"DIAZ GUERRERO,GABRIELA ALICIA"
"FUENTES MOYADO,SERGIO"
"GONZALEZ FLORES,AGUSTIN EDUARDO"
"ROSENBAUM PITLUCK,MARCOS"
"SHIMADA MIYASAKA,ARMANDO SADAJIKO"
"MEDRANO ROLDAN,HIRAM"
"TORRES JIMENEZ,JOSE"
"ALMANZA SALGADO,RAFAEL"
"SANTIAGO CRUZ,MARIA DE JESUS LEONIDES"
"LARQUE SAAVEDRA,FRANCISCO ALFONSO"
"DIAZ MIRANDA,SOFIA YOLANDA"
"DE OLIVEIRA BARBOSA,ORLANDINA"
"GARCIA Y CALDERON,GASTON DANIEL"
"MARTINEZ MADRID,MIGUEL"
"GOMEZ MANCILLA,JULIO CESAR"
"DEL CASTILLO MUSSOT,MARCELO"
"ESCOBOSA ECHAVARRIA,ARTURO"
"ASOMOZA Y PALACIO,JOSE PABLO RENE"
"MAGAÑA SOLIS,LUIS FERNANDO"
"FALCONY GUAJARDO,CIRO"
"LUNA ACOSTA,GERMAN AURELIO"
"MALDONADO GRANIEL,LUIS ANGEL"
"PELLICER GRAHAM,FRANCISCO JULIO"
"ALCOCER VARELA,JORGE CARLOS"
"CELIS SANDOVAL,HELIODORO"
"PONCE DE LEON ROSALES,SAMUEL"
"PICK STEINER,SUSAN EMILY"
"ARANDA GOMEZ,JOSE JORGE"
"SALAZAR IBARGUEN,HUMBERTO ANTONIO"
"ROJO ASENJO,ONOFRE"
"ESPIN OCAMPO,ELDA GUADALUPE"
"PALACIOS DE LA LAMA,RAFAEL RAUL"
"ORTIZ Y SALAZAR,MARIA ESTHER"
"FARIAS SANCHEZ,MARIO HUMBERTO"
"COTA ARAIZA,ERNESTO"
"DEL CASTILLO DAVILA,LUIS FELIPE"
"VENTURA JUAREZ,JAVIER"
"RODRIGUEZ ZEPEDA,ROSALIO FERNANDO"
"DOMINGUEZ ESQUIVEL,JOSE MANUEL"
"PALACIOS VARGAS,GUADALUPE"
"PIÑA GARZA,EDUARDO"
"ESPINDOLA CASTRO,JUAN MANUEL"
"SINGH SINGH,SHRI KRISHNA"
"CORTES ZORRILLA,JOSE"
"MARTINEZ GOMEZ,LORENZO"
"FERREIRO SCHIAVI,EMILIA BEATRIZ MARIA"
"SAURI DUCH,ENRIQUE"
"DICKINSON BANNACK,FEDERICO HORACIO"
"BARCENA GAMA,JOSE RICARDO"
"LAGUNES TEJEDA,ANGEL"
"PARRA HAKE,MIGUEL PEDRO"
"SOMANATHAN,RATNASAMY"
"CARRILLO CALVET,HUMBERTO ANDRES"
"VAZQUEZ PELAEZ,CARLOS GUSTAVO"
"MARTINEZ RICHA,ANTONIO"
"JAUREGUI RENAUD,ROCIO"
"MANCILLA PERCINO,TERESA"
"SOLORZA FERIA,OMAR"
"CONTRERAS THEUREL,ROSALINDA"
"LAGUARDA FIGUERAS,ALFREDO"
"BARRERA Y PEREZ,RUBEN GERARDO"
"BRUNER E ITURBIDE,CARLOS ANTONIO"
"CRUZ JIMENEZ,SALVADOR ANTONIO"
"MANZANILLA NAIM,LINDA ROSA"
"MEAS VONG,YUNNY"
"MUNGUIA OROZCO,LUIS"
"GAZQUEZ MATEOS,JOSE LUIS"
"ORTIZ ROMERO VARGAS,MARIA ELBA"
"CASTILLO CABALLERO,ROLANDO CRISOSTOMO"
"GALVAN ESPINOSA,MARCELO ENRIQUE"
"SANCHEZ CAMPEROS,EDGAR NELSON"
"RUIZ BOULLOSA,RICARDO"
"SOTO EGUIBAR,ENRIQUE"
"ALBA ANDRADE,FERNANDO"
"VARGAS JARILLO,CRISTOBAL"
"DREYFUS CORTES,GEORGES"
"PARDO CEMO,ANNIE"
"LASTRA Y VILLAR Y GARCIA GOMEZ,CLEMENTINA MERCED"
"ROSALES HOZ,MARIA DEL JESUS DEL SAGRADO CO"
"PASANTES ORDOÑEZ,HERMINIA"
"GUTIERREZ CORONA,J. FELIX"
"POSSANI POSTAY,LOURIVAL DOMINGOS"
"NEGRON MENDOZA,ALICIA"
"GNECCO MEDINA,DINO HERNAN"
"VAZQUEZ NIN,GERARDO HEBERT"
"MOLINA TORRES,JORGE"
"LARA ROSANO,FELIPE DE JESUS"
"ULLOA SOSA,MIGUEL ARMANDO"
"ECHEVERRIA MARTINEZ,OLGA MARGARITA"
"CARRASCO BAZUA,LUIS"
"MIRANDA COLIN,SALVADOR"
"CERBON SOLORZANO,JORGE"
"DULTZIN KESSLER,DEBORA"
"MORENO CADENAS,JOSE ANTONIO"
"HACYAN SALERYAN,SAHEN"
